Supplier Id,Supplier Number,Logo Url,Supplier Name,LinkedIn,URL,Description,Category,Type,Tier,Status,Capability,Business Units,Reference Customers,Address,Email,NACE CODE,Organization,enriched_text,score
fa4c621b-c765-48ce-9548-d19341386961,233179,https://cdc3scraper.blob.core.windows.net/public/3dbd6246-d0ff-44e5-9e06-c9d8f95f7ae8.jpeg,August Faller GmbH & Co.KG,https://in.linkedin.com/company/faller-packaging,https://www.faller-packaging.com,"For more than 30 years, Faller Packaging has specialized in tailor-made, comprehensive solutions for secondary packaging materials for the pharmaceutical industry. The company is a single-source supplier that develops and manufactures folding cartons, package inserts, labels, and combination products, delivering both standard products and special solutions based on customer requests. Digitalized, optimally harmonized processes ensure maximum efficiency, sustainable production, and fast, reliable delivery times. Additionally, Faller offers customized logistics services and supply chain concepts. As a result, the company is an expert partner for all matters related to the procurement and packaging of pharmaceutical and healthcare products.",Labels,company,,,"Pharma and Healthcare Packaging, Contract Packaging, Supply Chain Management, Serialization, Artwork Management, and Development Services.",,ok,"DE,null, Waldkirch,  null, null, 79183",nicola.schrader@faller-packaging.com,EAC07,8ef8ed40-fa4d-41c8-8fdc-5e907e757920,"Labels
Pharma and Healthcare Packaging, Contract Packaging, Supply Chain Management, Serialization, Artwork Management, and Development Services.",0.18963167
436af4d4-4340-4e14-a756-1da03b15cd07,220110,https://cdc3scraper.blob.core.windows.net/public/ec7c548e-c4f8-40d6-9a70-c4590cdd1773.jpeg,Edelmann Burscheid GmbH,https://pt.linkedin.com/company/edelmann-group?trk=public_profile_experience-item_profile-section-card_image-click,https://www.edelmann-group.com,"The Edelmann Group strives to be the global point of reference for packaging solutions, delivering sustainable value to our customers, our people, and our shareholders. We are passionate about creating superior packaging solutions that always prioritize the customer.","The text ""nan"" does not provide enough context for translation. ""Nan"" can refer to different concepts depending on the context. Could you please provide more information or clarify?",company,,,"Folding Boxes, Leaflets, Rigid Boxes, Combi Cartons, Wet Labels",,ok,"DE,null, Burscheid,  null, null, 51399",kristina.vomm@edelmann-group.com,,8ef8ed40-fa4d-41c8-8fdc-5e907e757920,"The text ""nan"" does not provide enough context for translation. ""Nan"" can refer to different concepts depending on the context. Could you please provide more information or clarify?
Folding Boxes, Leaflets, Rigid Boxes, Combi Cartons, Wet Labels",0.12716177
00a13b15-8c6e-4cd1-b524-e03f8a6ac7b3,241056,https://cdc3scraper.blob.core.windows.net/public/448e73d8-a5b7-413e-8c4e-37136061ab8e.jpeg,Edelmann Norderstedt GmbH,https://pt.linkedin.com/company/edelmann-group?trk=public_profile_experience-item_profile-section-card_image-click,https://www.edelmann-group.com,"The Edelmann Group aims to be the global benchmark for packaging solutions, providing sustainable value to our customers, employees, and shareholders. We are dedicated to creating exceptional packaging solutions that prioritize the customer at all times.","""nan"" is not a text to be translated, but rather a term that is often used to represent ""not a number"" in computing contexts. If you have a specific text you'd like to have translated, please provide it!",company,,,"Folding Boxes, Leaflets, Rigid Boxes, Combi Cartons, Wet Labels",,ok,"DE,null, Norderstedt,  null, null, 22844",Stefan.Steudtner@edelmann-group.com,,8ef8ed40-fa4d-41c8-8fdc-5e907e757920,"""nan"" is not a text to be translated, but rather a term that is often used to represent ""not a number"" in computing contexts. If you have a specific text you'd like to have translated, please provide it!
Folding Boxes, Leaflets, Rigid Boxes, Combi Cartons, Wet Labels",0.090874694
8d81ff46-3044-4d96-8a73-d98e5f93b93e,237897,https://cdc3scraper.blob.core.windows.net/public/bcfc98a9-c2e5-4f99-9400-ae0074d18029.png,GPI Berlin GmbH,https://www.linkedin.com/company/ar-packaging,https://www.ar-packaging.com,"Graphic Packaging International, LLC, the primary operating subsidiary of Graphic Packaging Holding Company (NYSE: GPK), headquartered in Atlanta, Georgia, is dedicated to providing consumer packaging that makes a significant impact. The Company is a leading provider of sustainable paper-based packaging solutions for a wide range of products in food, beverage, foodservice, healthcare, beauty, and other consumer goods sectors. Operating globally, it is one of the largest producers of folding cartons, trays, containers, and foodservice products in the world, and holds leading market positions in coated recycled paperboard, coated unbleached kraft paperboard, and solid bleached sulfate paperboard. The Company’s customers include many of the world's most recognized companies and brands. Since November 1st, AR Packaging has been part of Graphic Packaging International.","""nan"" does not have any specific meaning in English as it appears to be a placeholder or an abbreviation. Could you please provide more context or clarify what you would like to translate?",company,,,"Carton-packaging concepts for a wide range of consumer market segments, direct fill containers made of paperboard, high-quality fiber and aluminum trays for food applications, sustainable packaging solutions, smart packaging, and flexible packaging solutions for food and healthcare customers.",,ok,"DE,null, Rüdersdorf,  null, null, 15562",anne.rohrmann@graphicpkg.com,,8ef8ed40-fa4d-41c8-8fdc-5e907e757920,"""nan"" does not have any specific meaning in English as it appears to be a placeholder or an abbreviation. Could you please provide more context or clarify what you would like to translate?
Carton-packaging concepts for a wide range of consumer market segments, direct fill containers made of paperboard, high-quality fiber and aluminum trays for food applications, sustainable packaging solutions, smart packaging, and flexible packaging solutions for food and healthcare customers.",0.14182341
1db3cc07-9ca5-4d09-9ef3-4c9147743a65,233301,https://cdc3scraper.blob.core.windows.net/public/0928fff6-9533-43c3-843e-ab9ae5180121.png,GPI Munich GmbH,https://www.linkedin.com/company/ar-packaging,https://www.ar-packaging.com,"Graphic Packaging International, LLC, the main operating subsidiary of Graphic Packaging Holding Company (NYSE: GPK), based in Atlanta, Georgia, is dedicated to providing consumer packaging that makes a significant impact. The Company is a leading supplier of sustainable paper-based packaging solutions for a wide variety of products in food, beverage, foodservice, healthcare, beauty, and other consumer product sectors. The Company operates globally and is one of the largest producers of folding cartons, trays, containers, and foodservice products in the world. It also holds leading market positions in coated recycled paperboard, coated unbleached kraft paperboard, and solid bleached sulfate paperboard. The Company’s customers include many of the most recognized companies and brands worldwide. AR Packaging has been part of Graphic Packaging International since November 1st.",Package inserts,company,,,"Carton-packaging concepts for a wide range of consumer market segments, direct-fill containers made from paperboard, high-quality fiber and aluminum trays for food applications, sustainable packaging solutions, smart packaging, and flexible packaging solutions for food and healthcare customers.",,ok,"DE,null, Barleben,  null, null, 39179",yvonne.brauer@graphicpkg.com,,8ef8ed40-fa4d-41c8-8fdc-5e907e757920,"Package inserts
Carton-packaging concepts for a wide range of consumer market segments, direct-fill containers made from paperboard, high-quality fiber and aluminum trays for food applications, sustainable packaging solutions, smart packaging, and flexible packaging solutions for food and healthcare customers.",0.25260085
1ca3a8db-9904-4052-82cc-6d817c38a5b5,230592,https://cdc3scraper.blob.core.windows.net/public/2846a14b-7155-45a9-b68d-ab6fb2e03e4e.jpeg,MM Wolfen GmbH,https://www.linkedin.com/company/mm-packaging/,https://www.mm-packaging.com/,"MM Wolfen exclusively produces leaflets for the pharmaceutical industry and offers a wide range of innovative and complex leaflets. As the only German facility in the MM Group's Pharma & Healthcare business unit, the location provides, in addition to standard products such as pre-fold, flatpack, cross-fold, parallel fold, and roll products, options for outsert or tagsert gluing as well as piggyback, particularly in complex areas. A large variety of substrates for single- and multi-color variants can be printed on web or flat-sheet offset printing machines. Consequently, the location offers a wide range of leaflets in various sizes.",Package inserts,company,,,Packaging and Containers Manufacturing,,ok,"DE,null, Bitterfeld-Wolfen,  null, null, 6766",Lorenz.Stern@mm.group,1812,8ef8ed40-fa4d-41c8-8fdc-5e907e757920,"Package inserts
Packaging and Containers Manufacturing",0.36531186
dbdbc169-9a04-4aec-a2a1-2dd04e13eb3e,238992,,Wilhelm Bähren GmbH & Co. KG,,https://www.baehren-packaging.com,Basic information for onboarding a supplier on the Supplier Platform.,"Labels, package inserts",company,,,Alright.,,ok,"DE,null, Mönchengladbach,  null, null, 41236",s.herder@baehren-packaging.com,18.12,8ef8ed40-fa4d-41c8-8fdc-5e907e757920,"Labels, package inserts
Alright.",0.23706958
7d046c62-8fd7-46f4-90f4-650c6970d91b,,https://cdc3scraper.blob.core.windows.net/public/9685862b-84ac-462f-8863-29557721be30.png,Kunststoffwerk ZITTA GmbH,,https://zitta.com,"We are your reliable partner from planning to implementation of your plastic profile. With 50 years of experience in mold construction and profile production, extensive know-how, and flexible order processing, we have a solid foundation to support you.",It seems there is no text to translate. Could you please provide the text you want to be translated into English?,company,,,"manufacturing, polymer materials, and materials",Kunststoff,,"AT,undefined, Pasching,  undefined, undefined, A - 461",katarina.martinovic@zitta.com,,e98b924b-3a51-4587-a7f7-5b440e1a33b7,"It seems there is no text to translate. Could you please provide the text you want to be translated into English?
manufacturing, polymer materials, and materials",0.32514328
eb2f375d-0f65-4ffc-87d0-27a46e86c94e,,https://cdc3scraper.blob.core.windows.net/public/eea81f7b-768a-4662-ba38-08061578afd0.jpeg,REIFF Technische Produkte GmbH,https://www.linkedin.com/company/reiff-technische-produkte/about/,https://reiff-gruppe.de,"At REIFF, we are partners of the industry with a focus on product solutions for original equipment. With over 140,000 products, we have one of the largest technical ranges in Germany. At all times we are careful to meet the requirements of our customers. We can look back on over 100 years of experience. For us, customer proximity means more than just being on site. We think along with you and get actively involved, in construction and design as well as in the development of individually tailored product solutions. In our own machining center, standard products are modified and adapted, or complete assemblies are manufactured using the latest technologies.",It seems there is nothing to translate. Could you please provide the text you want me to translate into English?,company,,,"Technical products, processing services, needs analysis, logistics concepts, assembly constructions, prototype construction, C-parts management, quality management, and e-business solutions.",,,"DE,undefined, Reutlingen,  undefined, undefined, 72762",info@reiff-gruppe.de,,e98b924b-3a51-4587-a7f7-5b440e1a33b7,"It seems there is nothing to translate. Could you please provide the text you want me to translate into English?
Technical products, processing services, needs analysis, logistics concepts, assembly constructions, prototype construction, C-parts management, quality management, and e-business solutions.",0.3033697
25561543-e862-403f-a77a-75ecc34f7c95,,https://cdc3scraper.blob.core.windows.net/public/084eba4d-0032-44c4-9969-3d53e113f907.jpeg,Rehau AG + Co,https://www.linkedin.com/company/rehau,https://rehau.com,"offer comprehensive solutions that meet the highest standards of quality and performance. With a focus on innovation and sustainability, REHAU develops products that not only enhance functionality but also contribute to energy efficiency and environmental protection. By leveraging cutting-edge technologies and materials, the company is able to push the boundaries of what is possible in the construction, automotive, and industrial sectors. Through active collaboration with customers and partners, REHAU continues to drive advancements that address the evolving challenges of modern society, ensuring a successful and sustainable future for all.","The text ""nan"" does not contain any clear information to translate. It typically represents ""not a number"" in computing or might just indicate a missing value. If you meant to provide a different text, please share it again!",company,,,"Sustainability, Innovative Solutions, Digitization, Technologies, Materials, Manufacturing, Recycling",,,"DE,undefined, Rehau,  undefined, undefined, 95111",werner.tesch@rehau.com,,e98b924b-3a51-4587-a7f7-5b440e1a33b7,"The text ""nan"" does not contain any clear information to translate. It typically represents ""not a number"" in computing or might just indicate a missing value. If you meant to provide a different text, please share it again!
Sustainability, Innovative Solutions, Digitization, Technologies, Materials, Manufacturing, Recycling",0.13416895
